"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1133",795.881169162546,5.25796886734882,0.493824730223289,10.6474393556017,1.79227351870921e-26,3.26910689812559e-23
"g1784",673.967060213988,3.89316487753092,0.3966932129985,9.81404458146262,9.79615401590559e-23,8.9340924625059e-20
"g264",928.089224484832,-3.77896165550829,0.388439906007435,-9.72856186263199,2.27790553055781e-22,1.38496656257915e-19
"g971",595.610004571504,3.73057018319606,0.408838046227649,9.12481168917143,7.1861079774999e-20,3.27686523773995e-17
"g1783",960.473562277652,3.51497071400131,0.402775771019714,8.72686732149355,2.61823944896771e-18,9.55133750983422e-16
"g1085",855.234318845934,-2.4130067426845,0.290069314059223,-8.31872461418597,8.89148690371695e-17,2.70301201872995e-14
"g1492",2281.3439059085,-2.84885914964058,0.348848671177918,-8.16646123380993,3.17567386871327e-16,8.27489876647571e-14
"g154",36664.3878885992,4.29405869217472,0.529145508078209,8.11508106299571,4.85460644357793e-16,1.10685026913577e-13
"g2471",2887.39000882612,2.46255293806696,0.304473288137544,8.08791126844111,6.06965960284665e-16,1.23011767951026e-13
"g958",483.774840781033,2.62941296299446,0.325964330766261,8.06656653755143,7.23026853874568e-16,1.31880098146721e-13
"g1671",596.678196164931,-3.01809466185644,0.393324835037453,-7.67328780947447,1.67642753055765e-14,2.77982165067013e-12
"g2052",916.417067516472,-4.20570537368106,0.563814890837716,-7.45937264521734,8.69354120864265e-14,1.32141826371368e-11
"g2498",975.424772573323,-2.53960496815355,0.342407919719506,-7.4168990315234,1.19894275756173e-13,1.68220891522507e-11
"g66",98.3975350736912,5.28556784234613,0.721946882333235,7.32126971067995,2.45635574780315e-13,3.20028063142353e-11
"g2517",1153.95671779227,-3.54043694599815,0.485313867871585,-7.29514893428713,2.98328884918286e-13,3.62767924060636e-11
"g1463",755.266017747929,2.11347638833251,0.291143890274909,7.25921600599925,3.89340307361027e-13,4.43847950391571e-11
"g1078",1440.3759715762,3.86982711136136,0.537397212483367,7.20105542319154,5.97482533229463e-13,6.3564424933018e-11
"g1101",62.5057670136644,6.63301142327471,0.921966450093284,7.19441734848767,6.27280509207414e-13,6.3564424933018e-11
"g1855",148.730013285742,3.64324616026894,0.511703370537674,7.11984006757819,1.08052370279632e-12,1.03730275468447e-10
"g245",2374.12626256635,2.29259170880259,0.323975858552154,7.07642760497083,1.47917970515999e-12,1.34901189110591e-10
"g1407",1230.89013113117,-2.10119142515822,0.298891120568705,-7.02995599588321,2.06598684365464e-12,1.79445714420288e-10
"g338",299.123014091527,-6.44244628251636,0.920319177787586,-7.00023039615862,2.55541927125019e-12,2.11700980392583e-10
"g2093",587.796987634812,-6.69657961133582,0.957459824777851,-6.99411028853305,2.66947508170472e-12,2.11700980392583e-10
"g2496",83.9089388841335,-9.76541721715099,1.40215188514798,-6.96459300920909,3.2935449063446e-12,2.5030941288219e-10
"g1508",279.203780015238,3.3641127252671,0.484285764635242,6.94654472819556,3.74341283014546e-12,2.73119400087413e-10
"g774",128.909027571692,5.52974479964104,0.799149225695425,6.91953970777988,4.53113471353378e-12,3.17876527595601e-10
"g177",315.751636947727,3.27022549862093,0.486620092311358,6.72028457166236,1.81369997682079e-11,1.22525509545227e-09
"g933",57.5840784920078,4.76039462915736,0.711871449351935,6.68715486973256,2.27551036826046e-11,1.48233246846681e-09
"g1553",457.10695766627,-3.05113326541625,0.458353098185654,-6.65673097333445,2.79984991592366e-11,1.76100905056716e-09
"g1031",360.072873574374,2.92902091509674,0.450956306896725,6.4951323893282,8.29604241482576e-11,5.04399378821406e-09
"g2166",1102.48601678642,1.87700558653755,0.290576977868688,6.4595812108204,1.04993130362361e-10,6.17766031551439e-09
"g456",10773.4785623474,3.10817865154995,0.485010982444817,6.40847066159701,1.46986556287811e-10,8.37823370840525e-09
"g201",13908.5130433218,3.64972293817236,0.572927464490047,6.37030543023612,1.88652131049204e-10,1.04273177889014e-08
"g60",187.258876366461,2.83452175003668,0.445329673645974,6.36499635613785,1.95294372209845e-10,1.04769686738458e-08
"g1242",681.570364579258,-4.90100300184836,0.777910873417031,-6.30021146294091,2.9723984525415e-10,1.54904422212448e-08
"g1522",38.2192994190831,6.33516270887466,1.01118663802839,6.26507755405766,3.72639900489508e-10,1.88804216248017e-08
"g1475",413.775993516076,1.99785735065659,0.319409576993466,6.25484485926187,3.97911264405819e-10,1.96159498993571e-08
"g1130",45.1406225903743,9.03524006342805,1.46656786028716,6.16080599342938,7.23756169236558e-10,3.47402961233548e-08
"g1852",243.677572233885,-2.37849831228116,0.38655850102096,-6.15300997390868,7.60260221423587e-10,3.55567857404262e-08
"g592",9203.30635062976,2.56167008139369,0.425193152386281,6.02472092275478,1.69401668392278e-09,7.62646894566835e-08
"g1795",973.579214524975,2.20015563359209,0.365304625101103,6.02279709155932,1.71428304151536e-09,7.62646894566835e-08
"g1173",122.137678314679,-4.39413668449,0.731091255115431,-6.01038058346932,1.85088302804815e-09,8.03812057895198e-08
"g1182",584.751079841683,-3.39267736085982,0.565042002577988,-6.00429232761606,1.92168201386414e-09,8.15150696113533e-08
"g280",818.215154276823,4.19860156422138,0.703929599233143,5.96451913486137,2.45355517177696e-09,1.01711014393663e-07
"g2066",238.431391744587,-3.78066703914766,0.638428567085901,-5.92183250258437,3.18373808215679e-09,1.29047516930088e-07
"g1105",42.6334800802549,6.48342261666028,1.10370279986343,5.87424677862782,4.24770213031558e-09,1.68430623602079e-07
"g132",207.361883710561,3.37982065033769,0.577413897561566,5.85337600049247,4.81693425708204e-09,1.8693804435995e-07
"g1854",37806.2538178199,2.33553712952862,0.400506192813673,5.8314632118939,5.49434262004344e-09,2.08785019561651e-07
"g1954",4770.65329580765,-2.70234802540241,0.465336361866872,-5.80730036776177,6.34881802296566e-09,2.36331511712028e-07
"g1882",783.330692056144,-2.18637619307213,0.377481577850891,-5.79200766702255,6.95499668100602e-09,2.53718278923099e-07
"g708",10123.6125460285,1.92733451983081,0.334280309346754,5.76562383706411,8.13563372297857e-09,2.90968547268881e-07
"g1",1759.81852171345,-1.54077940597956,0.267499117657373,-5.75994201204457,8.41428379700598e-09,2.91756224357599e-07
"g1363",441.395812142554,-1.94409545547745,0.337594103274254,-5.75867717066762,8.47756572968902e-09,2.91756224357599e-07
"g1900",59.4470143800629,-5.23047819959194,0.909585535461279,-5.75039729159655,8.90339786054014e-09,3.00736994400467e-07
"g1793",61.3120499442833,3.79377103277264,0.662131312314012,5.72963543970484,1.00646702003017e-08,3.33781062642732e-07
"g1489",272.557316438083,-3.94053612042601,0.692132291453307,-5.69332795057409,1.24586753796388e-08,4.0338394422511e-07
"g2361",31.0123430188657,6.01692812080966,1.05721046823873,5.69132476604551,1.26057482570347e-08,4.0338394422511e-07
"g2090",118.762990131107,4.98747631193754,0.877728163190281,5.6822562167876,1.32929315957509e-08,4.18039779838788e-07
"g1958",1109.49553405573,2.77681359352315,0.489135349440125,5.67698408365202,1.37090222727604e-08,4.23817908907033e-07
"g430",842.778811307388,-3.40081823892622,0.602779195852874,-5.64189716951725,1.68186543065923e-08,5.04060020971172e-07
"g626",1676.06055457908,1.99070122435676,0.352867213081857,5.64150238547373,1.68572704381806e-08,5.04060020971172e-07
"g1103",140.303676400937,4.27807748405452,0.761835065704832,5.61549038189329,1.96005560042222e-08,5.76635712124214e-07
"g4",1221.66503376745,-1.75718007886685,0.314634486165915,-5.58482987761309,2.33929091209949e-08,6.66697909948356e-07
"g1404",1371.18961913946,1.98641424165015,0.355655654668171,5.58521765527244,2.33407704827397e-08,6.66697909948356e-07
"g1079",8377.30803461595,3.47201241878138,0.6252672682704,5.55284531107087,2.81056775000118e-08,7.88688550154177e-07
"g834",64.8090133893779,3.56556267135776,0.644548230334715,5.53187876957812,3.1681884963946e-08,8.75572093549053e-07
"g415",1187.32221383674,-1.74211617236732,0.315956582160246,-5.51378344599184,3.51200691704826e-08,9.56104569656124e-07
"g1734",1161.03953730187,-2.49145091739426,0.455376445395034,-5.47118969939905,4.47024487371208e-08,1.19907744847806e-06
"g295",1912.95770547145,-3.12763015220375,0.572089154072485,-5.46703276917477,4.57631476576807e-08,1.20973885982043e-06
"g515",2112.04575863201,-2.31494633674195,0.424019196567692,-5.459531916198,4.77391516054203e-08,1.24394589326124e-06
"g529",1941.00290921654,1.77828327451994,0.326828822129049,5.44102341689371,5.29753493873443e-08,1.36069689379868e-06
"g2477",78.0294534810682,-3.10575743862133,0.571062038644203,-5.43856398859031,5.37117194920531e-08,1.36069689379868e-06
"g1476",180.43463580992,2.17640398558217,0.401619479161818,5.41906978746234,5.99099300655957e-08,1.49692756766639e-06
"g386",5240.99001008682,-2.08719619452734,0.386284552794526,-5.40326083305114,6.54401920592069e-08,1.59150547087991e-06
"g1063",299.190800713198,3.50401714217007,0.648438035415291,5.40378101035656,6.52506008785876e-08,1.59150547087991e-06
"g339",28.3524799438969,-8.20066087100114,1.52555509728961,-5.37552585650359,7.63594924137935e-08,1.83262781793104e-06
"g73",1493.10133920634,-2.19338008681087,0.408403442617795,-5.37062095449461,7.84659830285807e-08,1.85872666291079e-06
"g763",2032.42298993243,-2.96740098900071,0.553398985994828,-5.36213665745394,8.22432808113002e-08,1.92322748974117e-06
"g340",296.926088544957,-2.67412075413401,0.500177718581983,-5.34634121990723,8.97499409139181e-08,2.07220116743021e-06
"g2484",1207.16287214996,2.26804960796814,0.425738147006943,5.32733471011032,9.96644041947768e-08,2.27234841564091e-06
"g414",7830.46162233871,-1.53344183168537,0.287995111824802,-5.32454117699824,1.01208174627845e-07,2.27905815458258e-06
"g2006",30.7572631055646,5.00799309982736,0.944425268885183,5.30268859254357,1.14109481977738e-07,2.53824018448041e-06
