"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"g1",1759.81852171345,-1.48363871168789,0.268352533648015,8.41428379700598e-09,2.91756224357599e-07
"g2",233.765758093226,-1.60163177515279,0.327910633753694,2.37444531745622e-07,4.80775378851261e-06
"g3",12.7388837635623,0.481087004497702,0.778754566593806,0.306764561709637,0.448707747039598
"g4",1221.66503376745,-1.68035401404162,0.316675204963121,2.33929091209949e-08,6.66697909948356e-07
"g5",116.782789603843,-1.25052808722825,0.553004245601451,0.00658287008574256,0.0250716897460628
"g6",1010.44224303222,0.49340473312725,0.28940866739266,0.0710454007675331,0.153477134770128
"g7",1018.21138681458,-1.42040116750081,0.309304935542484,1.20354772025189e-06,1.96006343012451e-05
"g8",89.2673027535424,-1.53653569219997,0.420469519718501,6.05235402770701e-05,0.000574973632632166
"g9",16.1450829650099,-0.0434966962086685,0.691482805704418,0.915955001642767,0.944967151016068
"g10",583.324146578908,-0.614235629527164,0.366652177813765,0.0645152733032901,0.142810507894661
"g11",1071.32833394729,0.729074612761539,0.384573234252773,0.0357192594240334,0.0911215792859258
"g12",80.6004117964991,0.506526921944591,0.450319759267978,0.193805822421719,0.315110543975687
"g13",20085.6215843056,-0.260984147301471,0.390659770167144,0.454761281445219,0.58168623938014
"g14",58.8340216961204,1.92768067853401,0.552931942782983,7.47233199679693e-05,0.00068147667810788
"g15",701.551170902416,1.15512248151932,0.292662628351584,3.06077543806044e-05,0.000324584558082688
"g16",1.63586470534867,0.338741154114132,0.935984411852099,0.202506678891615,NA
"g17",1056.78355188962,0.758903291346416,0.350411150279679,0.0183049304867508,0.0540262026016722
"g19",3132.5869977162,0.276915761063291,0.572372937424393,0.537879307756375,0.655810065071944
"g20",1343.0361322085,0.328868949001505,0.334781094352313,0.289916904979029,0.43238629164493
"g21",28.5373957674208,4.21323623645159,1.41447170152957,0.000148277104585459,0.00116076153975913
"g24",180.795638839094,2.69015968577508,0.861688870295972,0.00014126723001768,0.001120310554575
"g25",1376.45958645249,-0.883049479122007,0.284575439086196,0.00101557749348762,0.00558810493542484
"g34",1397.06397677349,1.06593836633091,0.442783677164105,0.00638309292056135,0.0246668675574235
"g40",4725.94907020361,0.398169479318997,0.363765618606974,0.232535437469728,0.362826893023767
"g41",166.235585176852,0.200953515057984,0.38198084778912,0.561632082872151,0.678421800767419
"g56",19.7541823250212,-1.44345102049526,0.760256973355297,0.0115521022828288,0.0385916383953841
"g57",3008.12795107007,-1.97835053535821,0.816649946698498,0.00169357266061744,0.00859626872506895
"g58",255.476831322834,-1.42517854410101,0.526810827946518,0.00162015673471584,0.00832441094118786
"g59",828.346646783165,-0.450181721129281,0.433067660918333,0.23219476886484,0.362605529460161
"g60",187.258876366461,2.71537117609356,0.452023047249016,1.95294372209845e-10,1.04769686738458e-08
"g61",4820.37518061364,0.316085713412012,0.353484936852262,0.332809120668167,0.473882776033362
"g62",48.9653549028937,1.65593162202687,0.618637328115037,0.00133336922990939,0.00702909096923332
"g63",340.929573850032,-0.466496950336554,0.392308715796752,0.182818576030659,0.304252812664162
"g64",1953.59777986063,-0.803344870596028,0.714470853080403,0.108325975211631,0.206896941137189
"g65",1674.04112042691,1.824473568994,0.399411142888939,8.89283055710192e-07,1.5019002718661e-05
"g66",98.3975350736912,5.09560458689309,0.730780622849101,2.45635574780315e-13,3.20028063142353e-11
"g67",672.079479667844,1.37807964130055,0.678312021660278,0.00957829608949842,0.0334690761594628
"g68",13.2192014274837,-0.372171450555856,0.683684250587669,0.419664938297067,0.550697012556727
"g69",461.173830293296,-0.0485984280651716,0.344431110098695,0.875405124343941,0.923120531756593
"g70",2212.335609047,-0.0038870861062871,0.282797133566817,0.982176854239293,0.98683745147204
"g71",109.87003153679,0.380962213821788,0.456219724356338,0.332699533037317,0.473882776033362
"g72",584.679599165594,-1.89265054965461,0.489217656819136,1.71982242706533e-05,0.000203698448504361
"g73",1493.10133920634,-2.07098801249251,0.413553623748965,7.84659830285807e-08,1.85872666291079e-06
"g74",1983.6041507043,-0.285555147148408,0.318305087619078,0.334030648557837,0.47525109435998
"g75",4472.63924366015,-0.464689706135169,0.369518487610258,0.163812186831419,0.281880593189158
"g76",15.9541926495265,-0.926013943555915,0.933277842724911,0.0905570717083651,0.183528998662287
"g77",55.2563434607501,-0.405111301838525,0.475002774159525,0.312135120000434,0.452931152649795
"g78",377.240522015688,-0.195274511756327,0.332409752684758,0.52716328937252,0.648816356150794
"g82",2.06562615794399,-0.0394350094474417,0.845567656691204,0.876033344095826,NA
"g83",69.3858090011906,-1.37616759193199,0.861893231463688,0.0199992694672632,0.0573786756880094
"g84",5698.53101123256,-1.49973662557138,0.572743757118528,0.00171627801878164,0.00867172051594934
"g85",987.166654571289,-0.348577743482549,0.425137526448535,0.348356768370153,0.487646005761442
"g86",16519.5714649903,-0.817685304393589,0.280191823506012,0.00199736905090382,0.00981994918827109
"g87",9161.67484088585,0.665961456657462,0.375942237353321,0.0470726126268414,0.111507071988778
"g88",1512.08138479759,1.01350124621202,0.269567192335879,7.93345929233228e-05,0.000701115070042498
"g89",1314.23223883033,0.626459653044704,0.388686940651337,0.0737695963310959,0.15658445866245
"g90",904.300732421805,-0.796661903749116,0.364466845739391,0.0161823383250377,0.0492764359012834
"g91",3374.3732739249,0.98775579326996,0.658033331656749,0.0479566693979576,0.11329287503017
"g92",638.930244099319,0.52788008023948,0.351624815215777,0.101185158750716,0.198119718432711
"g93",1115.23937490745,-0.0685675564138289,0.287891369409044,0.799787569725778,0.869375761132193
"g95",215.036362531487,-0.503539513459727,0.370992020734672,0.132802060851469,0.242716391776632
"g96",753.334118480232,-0.696168570885427,0.455162879138196,0.0756282528379405,0.159659644880097
"g97",746.133216398195,-0.540297975044028,0.3310775695124,0.0771767682246485,0.161991283362208
"g98",103.675702845088,-0.138305488597465,0.353139821953669,0.667389770304095,0.769345510292427
"g100",12.9773454427841,1.14076427220127,0.882207186563071,0.0473671285292666,0.112059199010872
"g102",1570.39691511964,0.0322518644735133,0.293443239716412,0.90981938772154,0.942368292563367
"g103",80.4478568725753,-1.11255227488102,0.527374635589709,0.0119700769795241,0.0396971280193673
"g104",779.529485562033,-1.46508887456586,0.522058009076698,0.00112562651918451,0.00609241178336069
"g105",19.5182916407727,-0.180003172864332,0.60675606889444,0.683526187316506,0.78386625845764
"g107",431.812335750793,-1.70843287956585,0.407718343845308,5.41815103332764e-06,7.78165943684222e-05
"g108",429.575650657477,-0.305466522232487,0.358602145498008,0.349119598938037,0.488046395588925
"g109",2877.36037084702,-0.855030459990506,0.305484779354834,0.00277353215351641,0.0129384210946648
"g110",1380.99607976749,-0.389353090315947,0.31975510215867,0.189372544916402,0.311185154889655
"g111",1112.19769979232,-1.16323002193402,0.438235971981782,0.00266564940471635,0.0124670372159041
"g115",1684.12571304228,-0.229100669871291,0.316830472108235,0.43639264123704,0.564124860110816
"g116",679.10861305645,-0.0894882895759394,0.401848545151568,0.802289043531765,0.871575470757558
"g117",825.198234493762,-1.28878532617508,0.466146577529038,0.00160087010647392,0.00825105728203529
"g118",85.4353335463535,-0.888954101473985,0.530924712839834,0.0427684049330125,0.103460968962619
"g119",394.441105683726,0.912708840920709,0.312337402413017,0.00178820223013074,0.00896066172461119
"g120",653.668361984383,-0.849541659132671,0.460605254685066,0.0324262687805964,0.0844935917940113
"g121",67.6468460818384,0.165541232428227,0.380660733255559,0.631918618645521,0.740758072242564
"g122",484.600692840925,-0.337946186301301,0.387251597984866,0.329360649464917,0.469705883208764
"g125",607.150448960517,-0.436090788025749,0.459925724565426,0.267146581987941,0.40606280462167
"g126",1049.51122048322,-0.732289387257366,0.315509061927734,0.0126128386617777,0.0416018403600047
"g127",39.5093638250533,-0.619331310479442,0.64544835907102,0.191788558751078,0.312862145194714
"g128",479.721562977648,-0.145179941961359,0.377091215720043,0.667694047583833,0.769345510292427
"g129",4253.49015236102,-0.947267276082193,0.40207303321787,0.00843036939573861,0.0305705641706307
"g130",190.996593468109,-2.25141690401945,0.982757282479862,0.00176191772835789,0.00887772910642208
"g131",7414.96780488878,0.681483858661585,0.363345030310634,0.0378302077356481,0.09512875342876
"g132",207.361883710561,3.20097267064496,0.590078954929483,4.81693425708204e-09,1.8693804435995e-07
"g133",2489.13674600375,1.13615697550162,0.853655790664307,0.0453979304948108,0.108384587987611
"g134",236.131276872531,0.821655233956702,0.852371611312852,0.118258566452574,0.222374871349994
"g139",1184.32334578477,1.43004648043518,0.614029103228172,0.0045820399828863,0.0187391052214901
"g141",509.269833451907,0.806726888644723,0.506907706763315,0.0574454615303087,0.130162138920849
"g142",887.816660721639,1.23655035753431,0.487406470608586,0.00347755486453357,0.015005058314216
"g143",22.0437068700173,3.4678826124372,0.913782914086635,1.13428450152829e-05,0.000143648880429981
"g144",204.445486945426,-0.240292253292756,0.425482377722995,0.51733263876629,0.638872534265208
"g145",458.701582293106,-1.31616405427115,0.628179800170363,0.00881332529731124,0.0316446955557002
"g146",109.032050426482,-0.590287010609324,0.597043101633985,0.196870556070849,0.318244622572875
"g147",317.594109566644,-0.552289821271116,0.457434700334474,0.15883560514136,0.276000159946783
"g148",3023.50549455786,-0.324274489346448,0.353118381082597,0.315190382298088,0.455547468058534
"g149",224.030071991797,-2.58432707171759,0.612556086227849,2.33313470580771e-06,3.60647262999429e-05
"g151",203.546503306506,1.03769843298411,0.475012054950618,0.0114757692422637,0.0384775792240606
"g152",89.3500270822565,0.934025152392934,0.712539862479506,0.0693747634507611,0.151001871759175
"g153",822.227601004864,-0.150836759665412,0.263375927124125,0.546564794924187,0.664180003958505
"g154",36664.3878885992,4.17924512608643,0.535565587755725,4.85460644357793e-16,1.10685026913577e-13
"g160",3148.43115380588,1.85644562346811,0.541637124995362,0.000100617482442327,0.000857599476517774
"g161",15.4014607715189,4.49677085247988,1.84099574966596,0.000822828567558391,0.00474949147856489
