"","Control_1","Control_2","Control_3","Heat_treated_42_12h_1","Heat_treated_42_12h_2","Heat_treated_42_12h_3"
"g1",2525.40760176543,2942.10774569201,2390.70906741598,848.613748328696,889.975078215302,962.097888863277
"g2",382.262839761312,372.510261593457,315.787037444994,117.341502810937,94.6481432387702,120.044763709884
"g3",9.27322252790244,7.23320896297975,7.87280702771453,26.2844966296499,1.41265885431,24.3569085788171
"g4",2063.80719148762,1965.62453568975,1627.92154206408,689.968036528309,474.653375048161,508.015521786757
"g5",160.735857150309,141.047574778105,214.315302421118,47.8753331468623,104.53675521894,32.1859149077226
"g6",854.166830625681,721.51259405723,894.000975813805,1431.56633429343,1090.57263552732,1070.83408787585
"g7",1343.5869084872,1424.03801458664,1744.26413480697,606.420886526922,435.098927127481,555.859449352291
"g8",131.885831507946,139.23927253736,137.336744816798,52.5689932592998,31.0784947948201,43.4944796050306
"g9",15.4553708798374,11.7539645648421,22.7436647467309,8.44858820238746,36.7291302120601,1.73977918420122
"g10",564.636216143393,929.467351742898,677.061404383449,579.197657874785,406.845750041281,342.736499287641
"g11",1135.45458063872,528.928405417894,642.945907263353,1239.12626968349,1339.20059388588,1542.31424679439
"g12",62.8518415780054,50.6324627408582,76.1038012679071,104.199254496112,59.3316718810201,130.483438815092
"g13",32573.7396663453,13004.4055643172,21347.5536338162,16706.61380421,22153.3161532895,14728.1006838555
"g14",23.698235349084,18.0830224074494,23.6184210831436,60.0788494391997,91.8228255301502,135.702776367695
"g15",439.962891046038,407.772155287983,414.634503459632,1092.68407417545,1049.60552875233,804.647872693066
"g16",1.03035805865583,0,0,5.63239213492498,1.41265885431,1.73977918420122
"g17",874.773991798797,745.924674307287,642.071150926941,1267.28823035812,1806.79067466249,1003.85258928411
"g19",846.95432421509,5020.75117142832,2104.66374540902,1787.34577081619,6835.85619600611,2199.95077842245
"g20",1159.15281598781,1283.89459092891,1062.82894874146,1062.64464945585,1477.64116160826,2012.05462652872
"g21",0,0,5.24853801847635,56.3239213492498,97.4734609473902,12.1784542894086
"g24",20.6071611731165,42.495102657506,50.7358675119381,754.740546079947,125.72663803359,90.4685175784636
"g25",1992.71248544037,1658.21315476311,1787.1271952912,955.629198892271,792.501617267912,1072.57386706005
"g34",700.643479885962,805.598648251869,1009.46881222029,2197.57166464323,2671.33789350022,997.763362139402
"g40",4739.6470698168,4074.10494839834,3100.1364562467,4673.94673996524,7761.14774557916,4006.71146121542
"g41",191.646598909984,154.609841583692,110.219298388003,194.317528654912,216.136804709431,130.483438815092
"g56",32.9714578769865,37.0701959352712,23.6184210831436,8.44858820238746,4.23797656293001,12.1784542894086
"g57",975.749081547068,9009.86591451165,5214.42252135626,303.210443263461,1171.09419022299,1374.42555551897
"g58",370.928901116098,440.321595621392,350.777290901503,90.1182741587996,64.9823072982602,215.732618840952
"g59",1214.79215115522,914.096782696566,838.016570283391,553.851893267623,371.529278683531,1077.79320461266
"g60",54.6089771087588,49.7283116204858,34.1154971200963,450.591370793998,227.438075543911,307.071026011516
"g61",4087.43041868767,5013.51796246534,3527.01754841611,5239.06341750271,7393.85644345856,3661.36529315148
"g62",30.9107417596748,18.9871735278218,11.3718323733654,61.9563134841747,63.5696484439502,106.996419828375
"g63",490.450435920174,420.430270973198,308.788986753692,210.275973037199,218.962122418051,396.669653997879
"g64",6079.11254606938,783.89902136293,1410.10721429731,572.626533717372,695.028156320522,2180.81320739623
"g65",889.199004619979,608.493704010671,579.963451041637,3583.14012983477,2576.68975026145,1806.76068279297
"g66",4.12143223462331,1.80830224074494,8.74756336412725,316.352691578286,138.44056772238,120.914653301985
"g67",661.489873657041,123.868703491028,151.332846199402,931.222166307596,1422.54746629017,742.015822061822
"g68",13.3946547625258,23.5079291296842,13.1213450461909,16.8971764047749,2.82531770862001,9.56878551310673
"g69",572.87908061264,403.251399686121,434.753899197125,413.042089894498,600.380013081751,342.736499287641
"g70",2521.28616953081,2205.22458258845,1926.21345278082,1888.72882924484,2135.94018771673,2596.62043242033
"g71",90.6715091617128,72.3320896297975,111.094054724416,104.199254496112,79.1088958413602,201.814385367342
"g72",714.038134648488,1122.95569150261,995.472710837682,214.969633149637,114.42536719911,346.216057656044
"g73",1960.77138562204,2433.97481604269,2957.55117341142,412.103357872011,402.607773478351,791.599528811557
"g74",1812.3998251756,2682.61637414511,2124.78314114651,1350.83538035951,2085.08446896157,1845.9057144375
"g75",6803.45426130443,4761.25979988142,4366.78363137233,2603.10389835783,5075.68326353584,3225.55060750907
"g76",21.6375192317724,28.0286847315465,24.4931774195563,9.38732022487496,0,12.1784542894086
"g77",92.7322252790244,51.5366138612307,52.4853801847635,33.7943528095498,40.9671067749901,60.0223818549422
"g78",329.714578769865,488.241605001133,401.513158413441,393.328717422261,387.068526080941,263.576546406485
"g82",0,5.42490672223481,1.74951267282545,0,0,5.21933755260367
"g83",15.4553708798374,122.060401250283,192.4463940108,37.5492808994998,29.6658359405101,19.1375710262135
"g84",2615.04875286849,11139.1418029888,12677.8435836296,2813.37987139503,2672.75055235453,2273.0215041589
"g85",1727.91046436582,886.972249085392,795.153509799167,551.03569720016,1178.15748449454,783.770522482651
"g86",17740.705053936,21739.4095382356,24713.6160163323,10537.2669524221,12381.9548580272,12004.4763709884
"g87",9575.1174390886,4115.69589993548,6565.0463047775,12004.5051035701,11087.9593474792,11621.7249504642
"g88",847.984682273746,1084.07719332659,994.597954501269,2071.7815736299,2147.24145855121,1926.80544650286
"g89",727.432789411014,986.428872326363,1251.77631740661,1152.76292361464,2289.92000283652,1477.07252738684
"g90",1112.78670334829,1240.49533715103,1177.42202881153,445.897710681561,894.213054778232,554.98955976019
"g91",3977.18210641149,830.010728501926,903.623295514345,2428.49974217515,4858.1337999721,7248.7899709744
"g92",630.579131897366,538.874067741991,351.652047237916,766.005330349797,635.696484439502,910.774402929341
"g93",1231.27788009371,1169.0673986416,1035.71150231267,1265.41076631314,861.721901129102,1128.24680095449
"g95",249.34665019471,254.066464824664,271.174464287945,111.709110676012,220.374781272361,183.546703933229
"g96",1142.66708704931,835.435635224161,930.74074194314,367.044220792611,908.339643321332,335.777382550836
"g97",693.430973475372,986.428872326363,1025.21442627571,480.630795513598,566.476200578311,724.61803021981
"g98",107.157238100206,94.9358676391092,126.839668779845,114.525306743475,88.9975078215302,89.598627986363
"g100",4.12143223462331,9.94566232409715,3.4990253456509,29.1006926971124,15.53924739741,15.658012657811
"g102",1309.58509255156,1763.09468472631,1581.55945623421,1760.12254216405,1269.98031002469,1738.03940501702
"g103",77.276854399187,171.788712870769,97.0979533418125,33.7943528095498,40.9671067749901,61.7621610391435
"g104",921.140104438309,1506.31576654053,1134.5589683273,163.339371912824,589.078742247271,362.743959905955
"g105",18.5464450558049,37.9743470556437,8.74756336412725,13.1422483148249,16.95190625172,21.7472398025153
"g107",513.118313210602,828.202426261181,683.184698738339,203.704848879787,124.31397917928,238.349748235568
"g108",520.330819621193,409.580457528728,520.480020165572,384.880129219873,247.215299504251,494.967177905248
"g109",3457.88164484896,3990.92304532408,3866.42300694425,1495.40011182258,2150.06677625983,2303.46763988242
"g110",1700.09079678211,1566.89389160549,1505.4556549663,821.390519676559,1262.91701575314,1429.22859982131
"g111",860.348978977616,2235.96572068111,1670.78460254831,733.149709562734,505.731869842981,667.205317141169
"g115",1838.158776642,1888.77169045809,1784.50292628196,1752.61268598415,1049.60552875233,1791.10267013516
