# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/Manu/Braker3/braker.gtf" "-o" "/home/mabo3966/Genome_Analysis/Njaponicum_transcriptomics_heat_response/analyses/06_expression/FeatureCounts/Results/featurecounts_chr3.txt" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam
g1	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	3865;3865;4097;4097;4312;4312;4709;4709;4852;4852;5148;5148;5832;5832;6226;6226;6914;6914	3899;3899;4184;4184;4581;4581;4749;4755;4986;4986;5314;5314;6100;6100;6524;6524;7142;7142	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1539	2451	3254	2733	904	630	1106
g2	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	7847;8623;9735;9938;10456	7870;8656;9814;10000;10527	-;-;-;-;-	273	371	412	361	125	67	138
g3	contig_100_pilon	58322	58555	+	234	9	8	9	28	1	28
g4	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	58844;58844;58844;58844;59116;59116;59116;59116;59288;59288;59288;59288;59386;59386;59386;59386;59694;59694;59694;59694;59844;59844;59844;59844;60116;60116;60116;60116;60257;60257;60257;60257;60381;60381;60761;60761;60761;60761;61105;61105;61105;61105;61274;61274;61274;61274;61520;61520;61520;61520;61652;61652;61652;61826;61826;61826;61826;62062;62062;62062;62062;62440;62440;62440;62440;62533;62533;62533;62533;62721;62721;62721;62721;62823;62823;62823;62823	58906;58906;58906;58906;59172;59172;59172;59172;59360;59360;59360;59360;59474;59474;59474;59474;59718;59718;59718;59718;59910;59910;59910;59910;60132;60132;60132;60132;60288;60288;60285;60288;60392;60392;60817;60817;60817;60817;61108;61108;61108;61108;61336;61336;61336;61336;61614;61614;61614;61676;61662;61662;61662;61905;61905;61905;61905;62137;62137;62137;62137;62480;62480;62480;62480;62590;62590;62590;62590;62771;62771;62771;62771;62919;62919;62919;62919	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1119	2003	2174	1861	735	336	584
g5	contig_100_pilon;contig_100_pilon	63016;63146	63022;63342	-;-	204	156	156	245	51	74	37
g6	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	63954;75132;75387;82389;82675;83904;84042	64124;75240;75513;82444;82821;83938;85067	+;+;+;+;+;+;+	1671	829	798	1022	1525	772	1231
g7	contig_100_pilon	87204	89375	-	2172	1304	1575	1994	646	308	639
g8	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	89402;89762;90644;91189	89456;89825;91148;91554	-;-;-;-	990	128	154	157	56	22	50
g9	contig_100_pilon;contig_100_pilon;contig_100_pilon	102530;102717;102928	102637;102805;103027	-;-;-	297	15	13	26	9	26	2
g10	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	103531;104385;104587;105142;105470;105932;106276;106648;107035	103824;104421;104773;105284;105703;106121;106401;106753;107403	+;+;+;+;+;+;+;+;+	1686	548	1028	774	617	288	394
